X0,y,X89
2015-12-16 06:10:00,18.45,12.3
2015-12-16 06:15:00,18.45,12.3
2015-12-16 06:20:00,18.45,12.3
2015-12-16 06:25:00,18.45,12.3
2015-12-16 06:30:00,18.45,12.3
2015-12-16 06:35:00,18.425,12.3
2015-12-16 06:40:00,18.4,12.3
2015-12-16 06:45:00,18.4,12.3
2015-12-16 06:50:00,18.3875,12.3
2015-12-16 06:55:00,18.375,12.3
2015-12-16 07:00:00,18.375,12.3
2015-12-16 07:05:00,18.375,12.3
2015-12-16 07:10:00,18.375,12.3
2015-12-16 07:15:00,18.375,12.3
2015-12-16 07:20:00,18.3708333332,12.3
2015-12-16 07:25:00,18.3666666665,12.3
2015-12-16 07:30:00,18.3666666665,12.3
2015-12-16 07:35:00,18.3499999999,12.3
2015-12-16 07:40:00,18.3333333332,12.4
2015-12-16 07:45:00,18.3333333332,12.4
2015-12-16 07:50:00,18.3166666665,12.4
2015-12-16 07:55:00,18.2999999997,12.4
2015-12-16 08:00:00,18.2999999997,14.8
2015-12-16 08:05:00,18.6041666664,22.5
2015-12-16 08:10:00,18.908333333,25.1
2015-12-16 08:15:00,18.908333333,29.2
2015-12-16 08:20:00,20.0291666662,30.6
2015-12-16 08:25:00,21.1499999995,30.9
2015-12-16 08:30:00,21.1499999995,29.8
2015-12-16 08:35:00,21.9624999996,32.6
2015-12-16 08:40:00,22.7749999998,30.5
2015-12-16 08:45:00,22.7749999998,23.9
2015-12-16 08:50:00,22.6687499999,19.4
2015-12-16 08:55:00,22.5625,19.1
2015-12-16 09:00:00,22.5625,18.7
2015-12-16 09:05:00,22.275,18.4
2015-12-16 09:10:00,21.9875,18.3
2015-12-16 09:15:00,21.9875,18.1
2015-12-16 09:20:00,21.8625,18.1
2015-12-16 09:25:00,21.7375,18.1
2015-12-16 09:30:00,21.7375,18.1
2015-12-16 09:35:00,21.6875,18.1
2015-12-16 09:40:00,21.6375,18.1
2015-12-16 09:45:00,21.6375,18.0
2015-12-16 09:50:00,21.5875,18.1
2015-12-16 09:55:00,21.5375,18.0
2015-12-16 10:00:00,21.5375,18.0
2015-12-16 10:05:00,21.53125,18.1
2015-12-16 10:10:00,21.525,18.0
2015-12-16 10:15:00,21.525,18.0
2015-12-16 10:20:00,21.51875,18.0
2015-12-16 10:25:00,21.5125,18.0
2015-12-16 10:30:00,21.5125,18.0
2015-12-16 10:35:00,21.53125,18.0
2015-12-16 10:40:00,21.55,18.0
2015-12-16 10:45:00,21.55,18.0
2015-12-16 10:50:00,21.56875,18.0
2015-12-16 10:55:00,21.5875,18.0
2015-12-16 11:00:00,21.5875,18.1
2015-12-16 11:05:00,21.625,18.2
2015-12-16 11:10:00,21.6625,18.2
2015-12-16 11:15:00,21.6625,18.5
2015-12-16 11:20:00,21.7125,18.6
2015-12-16 11:25:00,21.7625,18.7
2015-12-16 11:30:00,21.7625,19.0
2015-12-16 11:35:00,21.8375,19.2
2015-12-16 11:40:00,21.9125,19.1
2015-12-16 11:45:00,21.9125,19.2
2015-12-16 11:50:00,21.9875,19.4
2015-12-16 11:55:00,22.0625,19.4
2015-12-16 12:00:00,22.0625,19.6
2015-12-16 12:05:00,22.14375,19.6
2015-12-16 12:10:00,22.225,19.7
2015-12-16 12:15:00,22.225,19.7
2015-12-16 12:20:00,22.29375,19.8
2015-12-16 12:25:00,22.3625,19.9
