X0,y
2015-12-18 00:00:00,20.4833333332
2015-12-18 00:15:00,20.4416666665
2015-12-18 00:30:00,20.4
2015-12-18 00:45:00,20.325
2015-12-18 01:00:00,20.3
2015-12-18 01:15:00,20.275
2015-12-18 01:30:00,20.225
2015-12-18 01:45:00,20.2125
2015-12-18 02:00:00,20.15
2015-12-18 02:15:00,20.125
2015-12-18 02:30:00,20.05
2015-12-18 02:45:00,20.0125
2015-12-18 03:00:00,19.9666666665
2015-12-18 03:15:00,19.9125
2015-12-18 03:30:00,19.875
2015-12-18 03:45:00,19.8375
2015-12-18 04:00:00,19.825
2015-12-18 04:15:00,19.7875
2015-12-18 04:30:00,19.775
2015-12-18 04:45:00,19.75
2015-12-18 05:00:00,19.7
2015-12-18 05:15:00,19.6875
2015-12-18 05:30:00,19.65
2015-12-18 05:45:00,19.6125
2015-12-18 06:00:00,19.6
2015-12-18 06:15:00,19.6
2015-12-18 06:30:00,19.6
2015-12-18 06:45:00,19.6
2015-12-18 07:00:00,19.575
2015-12-18 07:15:00,19.5375
2015-12-18 07:30:00,19.5
2015-12-18 07:45:00,19.4875
2015-12-18 08:00:00,19.475
2015-12-18 08:15:00,19.925
2015-12-18 08:30:00,22.2
2015-12-18 08:45:00,23.9625
2015-12-18 09:00:00,23.5249999998
2015-12-18 09:15:00,22.3999999998
2015-12-18 09:30:00,21.6833333333
2015-12-18 09:45:00,21.2166666662
2015-12-18 10:00:00,20.825
2015-12-18 10:15:00,20.5625
2015-12-18 10:30:00,20.3875
2015-12-18 10:45:00,20.6125
2015-12-18 11:00:00,21.825
2015-12-18 11:15:00,22.3375
2015-12-18 11:30:00,21.8375
2015-12-18 11:45:00,21.5125
2015-12-18 12:00:00,21.3125
2015-12-18 12:15:00,21.1875
2015-12-18 12:30:00,21.1
2015-12-18 12:45:00,21.075
2015-12-18 13:00:00,21.05
2015-12-18 13:15:00,21.0375
2015-12-18 13:30:00,21.025
2015-12-18 13:45:00,21.0625
2015-12-18 14:00:00,21.1
2015-12-18 14:15:00,21.125
2015-12-18 14:30:00,21.175
2015-12-18 14:45:00,21.2125
2015-12-18 15:00:00,21.2375
2015-12-18 15:15:00,21.3125
2015-12-18 15:30:00,21.325
2015-12-18 15:45:00,21.325
2015-12-18 16:00:00,21.325
2015-12-18 16:15:00,21.325
2015-12-18 16:30:00,21.35
2015-12-18 16:45:00,21.35
2015-12-18 17:00:00,21.3
2015-12-18 17:15:00,21.3
2015-12-18 17:30:00,21.3
2015-12-18 17:45:00,21.2625
2015-12-18 18:00:00,21.2
2015-12-18 18:15:00,21.1875
2015-12-18 18:30:00,21.15
2015-12-18 18:45:00,21.1375
2015-12-18 19:00:00,21.083333333
2015-12-18 19:15:00,21.0416666665
