Date,Open,High,Low,Close,Volume,Adj Close
2006-10-09 00:00:00,73.8,75.08,73.53,74.63,15650800,74.31
2006-10-10 00:00:00,74.54,74.58,73.08,73.81,18985300,73.49
2006-10-11 00:00:00,73.42,73.98,72.6,73.23,20423400,72.92
2006-10-12 00:00:00,73.61,75.39,73.6,75.26,21173400,74.94
2006-10-13 00:00:00,75.63,76.88,74.74,75.02,24435600,74.7
2006-10-16 00:00:00,75.19,75.88,74.79,75.4,18167600,75.08
2006-10-17 00:00:00,75.04,75.27,74.04,74.29,17175900,73.97
2006-10-18 00:00:00,74.75,75.37,73.91,74.53,40496700,74.21
2006-10-19 00:00:00,79.26,79.95,78.16,78.99,54034900,78.65
2006-10-20 00:00:00,78.97,79.99,78.67,79.95,22836200,79.61
2006-10-23 00:00:00,79.99,81.9,79.75,81.46,29732400,81.11
2006-10-24 00:00:00,81.21,81.68,80.2,81.05,16543300,80.7
2006-10-25 00:00:00,81.35,82.0,81.01,81.68,17329100,81.33
2006-10-26 00:00:00,81.9,82.6,81.13,82.19,15455600,81.84
2006-10-27 00:00:00,81.75,82.45,80.01,80.41,21248800,80.07
2006-10-30 00:00:00,79.99,80.9,79.5,80.42,17854200,80.08
2006-10-31 00:00:00,81.45,81.68,80.23,81.08,17909800,80.73
2006-11-01 00:00:00,81.1,81.38,78.36,79.16,21828300,78.82
2006-11-02 00:00:00,78.92,79.32,78.5,78.98,16624400,78.64
2006-11-03 00:00:00,79.36,79.53,77.79,78.29,15424600,77.96
2006-11-06 00:00:00,78.95,80.06,78.43,79.71,15520600,79.37
2006-11-07 00:00:00,80.45,81.0,80.13,80.51,18783300,80.17
2006-11-08 00:00:00,80.02,82.69,79.89,82.45,24675600,82.1
2006-11-09 00:00:00,82.9,84.69,82.12,83.34,32966200,82.98
2006-11-10 00:00:00,83.55,83.6,82.5,83.12,13352300,82.76
2006-11-13 00:00:00,83.22,84.45,82.64,84.35,16095500,83.99
2006-11-14 00:00:00,84.8,85.0,83.9,85.0,21034100,84.64
2006-11-15 00:00:00,85.05,85.9,84.0,84.05,23404400,83.69
2006-11-16 00:00:00,84.87,86.3,84.62,85.61,24783600,85.24
2006-11-17 00:00:00,85.14,85.94,85.0,85.85,16658000,85.48
2006-11-20 00:00:00,85.4,87.0,85.2,86.47,20385500,86.1
2006-11-21 00:00:00,87.42,88.6,87.11,88.6,22238100,88.22
2006-11-22 00:00:00,88.99,90.75,87.85,90.31,23997900,89.92
2006-11-24 00:00:00,89.53,93.08,89.5,91.63,18524200,91.24
2006-11-27 00:00:00,92.51,93.16,89.5,89.54,38387000,89.16
2006-11-28 00:00:00,90.36,91.97,89.91,91.81,37006200,91.42
2006-11-29 00:00:00,93.0,93.15,90.25,91.8,41324400,91.41
2006-11-30 00:00:00,92.21,92.68,91.06,91.66,31088800,91.27
2006-12-01 00:00:00,91.8,92.33,90.1,91.32,28395700,90.93
2006-12-04 00:00:00,91.88,92.05,90.5,91.12,25340600,90.73
2006-12-05 00:00:00,91.65,92.33,90.87,91.27,23672800,90.88
2006-12-06 00:00:00,90.64,91.39,89.67,89.83,22792300,89.45
2006-12-07 00:00:00,90.03,90.5,86.9,87.04,35886700,86.67
2006-12-08 00:00:00,87.23,89.39,87.0,88.26,28009900,87.88
2006-12-11 00:00:00,88.9,89.3,88.05,88.75,17849300,88.37
2006-12-12 00:00:00,88.61,88.84,85.53,86.14,36665000,85.77
2006-12-13 00:00:00,87.95,89.07,87.15,89.05,30609000,88.67
2006-12-14 00:00:00,89.05,90.0,88.26,88.55,29726100,88.17
2006-12-15 00:00:00,89.02,89.22,87.33,87.72,26426400,87.34
2006-12-18 00:00:00,87.63,88.0,84.59,85.47,25770600,85.1
2006-12-19 00:00:00,84.73,86.68,83.62,86.31,32550200,85.94
2006-12-20 00:00:00,86.47,86.67,84.74,84.76,20274700,84.4
2006-12-21 00:00:00,84.7,85.48,82.2,82.9,32271400,82.55
2006-12-22 00:00:00,83.46,84.04,81.6,82.2,21903700,81.85
2006-12-26 00:00:00,82.15,82.57,80.89,81.51,17524600,81.16
2006-12-27 00:00:00,78.15,82.0,76.77,81.52,69134100,81.17
2006-12-28 00:00:00,80.22,81.25,79.65,80.87,39995600,80.52
2006-12-29 00:00:00,83.95,85.4,83.36,84.84,38443900,84.48
2007-01-03 00:00:00,86.29,86.58,81.9,83.8,44225700,83.44
2007-01-04 00:00:00,84.05,85.95,83.82,85.66,30259300,85.29
2007-01-05 00:00:00,85.77,86.2,84.4,85.05,29812200,84.69
2007-01-08 00:00:00,85.96,86.53,85.28,85.47,28468100,85.1
2007-01-09 00:00:00,86.45,92.98,85.15,92.57,119617800,92.17
2007-01-10 00:00:00,94.75,97.8,93.45,97.0,105460000,96.59
2007-01-11 00:00:00,95.94,96.78,95.1,95.8,51437600,95.39
2007-01-12 00:00:00,94.59,95.06,93.23,94.62,46881800,94.22
2007-01-16 00:00:00,95.68,97.25,95.45,97.1,44431300,96.68
2007-01-17 00:00:00,97.56,97.6,94.82,94.95,58795000,94.54
2007-01-18 00:00:00,92.1,92.11,89.05,89.07,84450200,88.69
2007-01-19 00:00:00,88.63,89.65,88.12,88.5,48731200,88.12
2007-01-22 00:00:00,89.14,89.16,85.65,86.79,51929500,86.42
2007-01-23 00:00:00,85.73,87.51,85.51,85.7,43122300,85.33
2007-01-24 00:00:00,86.68,87.15,86.08,86.7,33136200,86.33
2007-01-25 00:00:00,87.11,88.5,86.03,86.25,32356200,85.88
2007-01-26 00:00:00,87.11,87.37,84.99,85.38,35245500,85.01
2007-01-29 00:00:00,86.3,86.65,85.53,85.94,32202300,85.57
2007-01-30 00:00:00,86.43,86.49,85.25,85.55,20641800,85.18
2007-01-31 00:00:00,84.86,86.0,84.35,85.73,30573900,85.36
2007-02-01 00:00:00,86.23,86.27,84.74,84.74,23726500,84.38
2007-02-02 00:00:00,84.12,85.25,83.7,84.75,22197500,84.39
2007-02-05 00:00:00,84.3,85.23,83.94,83.94,20673300,83.58
2007-02-06 00:00:00,84.45,84.47,82.86,84.15,30871200,83.79
2007-02-07 00:00:00,84.48,86.38,83.55,86.15,38100900,85.78
2007-02-08 00:00:00,85.43,86.51,85.41,86.18,24251100,85.81
2007-02-09 00:00:00,85.88,86.2,83.21,83.27,30733600,82.91
2007-02-12 00:00:00,84.43,85.18,83.63,84.88,25859700,84.52
2007-02-13 00:00:00,85.16,85.29,84.3,84.7,20749500,84.34
2007-02-14 00:00:00,84.63,85.64,84.57,85.3,18142200,84.94
2007-02-15 00:00:00,85.44,85.62,84.78,85.21,12987900,84.85
2007-02-16 00:00:00,85.25,85.41,84.66,84.83,14281000,84.47
2007-02-20 00:00:00,84.65,86.16,84.16,85.9,22060800,85.53
2007-02-21 00:00:00,85.98,89.49,85.96,89.2,41261200,88.82
2007-02-22 00:00:00,90.8,90.81,88.53,89.51,29936600,89.13
2007-02-23 00:00:00,89.16,90.34,88.85,89.07,18496200,88.69
2007-02-26 00:00:00,89.84,90.0,87.61,88.51,21994600,88.13
2007-02-27 00:00:00,86.3,87.08,83.41,83.93,40921900,83.57
2007-02-28 00:00:00,83.0,85.6,83.0,84.61,32838400,84.25
2007-03-01 00:00:00,84.03,88.31,83.75,87.06,50554600,86.69
2007-03-02 00:00:00,86.77,87.54,85.21,85.41,30714300,85.04
2007-03-05 00:00:00,85.89,88.65,85.76,86.32,29960700,85.95
2007-03-06 00:00:00,87.8,88.31,87.4,88.19,25828100,87.81
2007-03-07 00:00:00,88.05,88.97,87.45,87.72,22367300,87.34
2007-03-08 00:00:00,88.59,88.72,87.46,88.0,18250400,87.62
2007-03-09 00:00:00,88.8,88.85,87.4,87.97,16137000,87.59
2007-03-12 00:00:00,88.07,89.99,87.99,89.87,26050300,89.49
2007-03-13 00:00:00,89.41,90.6,88.4,88.4,30996100,88.02
2007-03-14 00:00:00,88.6,90.0,87.92,90.0,28449500,89.62
2007-03-15 00:00:00,89.96,90.36,89.31,89.57,19982100,89.19
2007-03-16 00:00:00,89.54,89.99,89.32,89.59,20418000,89.21
2007-03-19 00:00:00,90.24,91.55,89.59,91.13,25462900,90.74
2007-03-20 00:00:00,91.35,91.84,91.06,91.48,17461300,91.09
2007-03-21 00:00:00,91.99,94.0,91.65,93.87,24532000,93.47
2007-03-22 00:00:00,93.73,94.36,93.0,93.96,20053300,93.56
2007-03-23 00:00:00,93.35,94.07,93.3,93.52,16103000,93.12
2007-03-26 00:00:00,93.99,95.9,93.3,95.85,30892400,95.44
2007-03-27 00:00:00,95.71,96.83,95.0,95.46,33287600,95.05
2007-03-28 00:00:00,94.88,95.4,93.15,93.24,33654900,92.84
2007-03-29 00:00:00,94.19,94.19,92.23,93.75,25918700,93.35
2007-03-30 00:00:00,94.28,94.68,92.75,92.91,21448500,92.51
2007-04-02 00:00:00,94.14,94.25,93.02,93.65,17928300,93.25
2007-04-03 00:00:00,94.14,95.23,93.76,94.5,20854800,94.1
2007-04-04 00:00:00,94.94,95.14,94.13,94.27,17028000,93.87
2007-04-05 00:00:00,94.12,94.68,93.52,94.68,12697000,94.28
2007-04-09 00:00:00,95.21,95.3,93.04,93.65,14762200,93.25
2007-04-10 00:00:00,93.67,94.26,93.41,94.25,12588100,93.85
2007-04-11 00:00:00,93.9,93.95,92.33,92.59,19607800,92.19
2007-04-12 00:00:00,92.04,92.31,90.72,92.19,23452700,91.8
2007-04-13 00:00:00,90.9,91.4,90.06,90.24,25712200,89.85
2007-04-16 00:00:00,90.57,91.5,90.25,91.43,21751200,91.04
2007-04-17 00:00:00,92.0,92.3,89.7,90.35,26854300,89.96
2007-04-18 00:00:00,90.16,90.85,89.6,90.4,16573000,90.01
2007-04-19 00:00:00,90.19,91.25,89.83,90.27,15211200,89.88
2007-04-20 00:00:00,90.89,91.18,90.55,90.97,18670700,90.58
2007-04-23 00:00:00,91.59,93.8,91.42,93.51,27867500,93.11
2007-04-24 00:00:00,93.96,96.39,91.3,93.24,37687600,92.84
2007-04-25 00:00:00,94.23,95.4,93.8,95.35,42398000,94.94
2007-04-26 00:00:00,101.58,102.5,98.3,98.84,62063500,98.42
2007-04-27 00:00:00,98.18,99.95,97.69,99.92,24978700,99.49
2007-04-30 00:00:00,100.09,101.0,99.67,99.8,22018200,99.37
2007-05-01 00:00:00,99.59,100.35,98.55,99.47,19018700,99.04
2007-05-02 00:00:00,99.65,100.54,99.47,100.39,18040900,99.96
2007-05-03 00:00:00,100.73,101.45,100.01,100.4,20574200,99.97
2007-05-04 00:00:00,100.8,101.6,100.5,100.81,13642400,100.38
2007-05-07 00:00:00,101.08,104.35,101.01,103.92,30769900,103.48
2007-05-08 00:00:00,103.47,105.15,103.42,105.06,27999900,104.61
2007-05-09 00:00:00,104.91,106.96,104.89,106.88,25634200,106.42
2007-05-10 00:00:00,106.63,108.84,105.92,107.34,42759200,106.88
2007-05-11 00:00:00,107.74,109.13,106.78,108.74,23346300,108.28
2007-05-14 00:00:00,109.62,110.0,108.25,109.36,23283800,108.89
2007-05-15 00:00:00,109.57,110.2,106.48,107.52,34089800,107.06
2007-05-16 00:00:00,108.53,108.83,103.42,107.34,40241700,106.88
2007-05-17 00:00:00,107.15,109.87,107.15,109.44,26260400,108.97
2007-05-18 00:00:00,110.23,110.64,109.77,110.02,22190900,109.55
2007-05-21 00:00:00,110.31,112.45,110.05,111.98,22853300,111.5
2007-05-22 00:00:00,112.49,113.75,112.01,113.54,20443200,113.05
2007-05-23 00:00:00,114.02,115.0,112.59,112.89,32549100,112.41
2007-05-24 00:00:00,112.81,114.46,110.37,110.69,31691500,110.22
2007-05-25 00:00:00,112.0,113.78,111.5,113.62,22605700,113.13
2007-05-29 00:00:00,114.45,114.86,112.69,114.35,23060500,113.86
2007-05-30 00:00:00,114.3,118.88,113.53,118.77,52801600,118.26
2007-05-31 00:00:00,120.07,122.17,119.54,121.19,46323800,120.67
2007-06-01 00:00:00,121.1,121.19,118.29,118.4,31616500,117.89
2007-06-04 00:00:00,118.63,121.73,117.9,121.33,31666900,120.81
2007-06-05 00:00:00,121.41,122.69,120.5,122.67,32885200,122.15
2007-06-06 00:00:00,122.3,124.05,121.95,123.64,39722900,123.11
2007-06-07 00:00:00,124.99,127.61,123.19,124.07,68395700,123.54
2007-06-08 00:00:00,125.82,125.83,122.29,124.49,44345800,123.96
2007-06-11 00:00:00,126.0,126.15,119.54,120.19,66937800,119.68
2007-06-12 00:00:00,119.35,121.71,118.31,120.38,50948800,119.87
2007-06-13 00:00:00,121.15,121.19,115.4,117.5,61476900,117.0
2007-06-14 00:00:00,117.2,119.45,116.42,118.75,34759500,118.24
2007-06-15 00:00:00,120.62,120.67,119.86,120.5,28972100,119.98
2007-06-18 00:00:00,123.28,125.18,122.54,125.09,32521600,124.56
2007-06-19 00:00:00,124.69,125.01,122.91,123.66,33679500,123.13
2007-06-20 00:00:00,123.87,124.66,121.5,121.55,32054000,121.03
2007-06-21 00:00:00,121.7,124.29,120.72,123.9,30965900,123.37
2007-06-22 00:00:00,123.85,124.45,122.38,123.0,22567000,122.47
2007-06-25 00:00:00,124.19,125.09,121.06,122.34,34478700,121.82
2007-06-26 00:00:00,123.98,124.0,118.72,119.65,48035900,119.14
2007-06-27 00:00:00,120.61,122.04,119.26,121.89,34810600,121.37
2007-06-28 00:00:00,122.36,122.49,120.0,120.56,29933700,120.04
2007-06-29 00:00:00,121.97,124.0,121.09,122.04,40637200,121.52
2007-07-02 00:00:00,121.05,122.09,119.3,121.26,35530800,120.74
2007-07-03 00:00:00,122.0,127.4,121.5,127.17,41517200,126.63
2007-07-05 00:00:00,128.8,132.97,128.69,132.75,51894700,132.18
2007-07-06 00:00:00,133.13,133.34,130.4,132.3,31239100,131.73
2007-07-09 00:00:00,132.38,132.9,129.18,130.33,35565000,129.77
2007-07-10 00:00:00,128.88,134.5,128.81,132.35,44821700,131.78
2007-07-11 00:00:00,132.07,133.7,131.31,132.39,29349000,131.82
2007-07-12 00:00:00,133.85,134.24,132.39,134.07,25164600,133.5
2007-07-13 00:00:00,135.03,137.85,134.52,137.73,32414500,137.14
2007-07-16 00:00:00,138.39,139.98,137.5,138.1,33432600,137.51
2007-07-17 00:00:00,138.3,139.6,137.5,138.91,25355700,138.32
2007-07-18 00:00:00,138.19,138.44,136.04,138.12,27030600,137.53
2007-07-19 00:00:00,140.3,140.81,139.65,140.0,26174700,139.4
2007-07-20 00:00:00,141.65,144.18,140.0,143.75,41706200,143.14
2007-07-23 00:00:00,143.31,145.22,140.93,143.7,37017500,143.09
2007-07-24 00:00:00,138.88,141.0,134.15,134.89,64117600,134.31
2007-07-25 00:00:00,137.35,138.36,135.0,137.26,53435100,136.67
2007-07-26 00:00:00,145.91,148.5,136.96,146.0,78093900,145.38
2007-07-27 00:00:00,146.19,148.92,143.78,143.85,41467800,143.24
2007-07-30 00:00:00,144.33,145.45,139.57,141.43,39535300,140.83
2007-07-31 00:00:00,142.97,143.48,131.52,131.76,62942600,131.2
2007-08-01 00:00:00,133.64,135.38,127.77,135.0,62505600,134.42
2007-08-02 00:00:00,136.65,136.96,134.15,136.49,30451600,135.91
2007-08-03 00:00:00,135.26,135.95,131.5,131.85,24256700,131.29
2007-08-06 00:00:00,132.9,135.27,128.3,135.25,33041800,134.67
2007-08-07 00:00:00,134.94,137.24,132.63,135.03,33926300,134.45
2007-08-08 00:00:00,136.76,136.86,132.0,134.01,28860600,133.44
2007-08-09 00:00:00,131.11,133.0,125.09,126.39,40192700,125.85
2007-08-10 00:00:00,123.12,127.75,120.3,125.0,50383900,124.47
2007-08-13 00:00:00,128.32,129.35,126.5,127.79,26889700,127.24
2007-08-14 00:00:00,128.29,128.3,123.71,124.03,26393100,123.5
2007-08-15 00:00:00,122.74,124.86,119.65,119.9,35459000,119.39
2007-08-16 00:00:00,117.01,118.5,111.62,117.05,66667500,116.55
2007-08-17 00:00:00,122.01,123.5,119.82,122.06,42680800,121.54
2007-08-20 00:00:00,123.96,124.5,120.5,122.22,28689900,121.7
2007-08-21 00:00:00,122.21,128.96,121.0,127.57,46537400,127.02
2007-08-22 00:00:00,131.22,132.75,130.33,132.51,37920200,131.94
2007-08-23 00:00:00,133.09,133.34,129.76,131.07,30958500,130.51
2007-08-24 00:00:00,130.53,135.37,129.81,135.3,32565500,134.72
2007-08-27 00:00:00,133.39,134.66,132.1,132.25,25265700,131.68
2007-08-28 00:00:00,130.99,132.41,126.63,126.82,42120200,126.28
2007-08-29 00:00:00,129.88,134.18,129.54,134.08,41673600,133.51
2007-08-30 00:00:00,132.67,138.25,132.3,136.25,51270800,135.67
2007-08-31 00:00:00,139.49,139.65,137.41,138.48,31317400,137.89
2007-09-04 00:00:00,139.94,145.73,139.84,144.16,47030100,143.54
2007-09-05 00:00:00,144.97,145.84,136.1,136.76,83150800,136.18
2007-09-06 00:00:00,135.56,137.57,132.71,135.01,67902200,134.43
2007-09-07 00:00:00,132.01,132.3,130.0,131.77,51092000,131.21
2007-09-10 00:00:00,136.99,138.04,133.95,136.71,53137100,136.13
2007-09-11 00:00:00,137.9,138.3,133.75,135.49,34710200,134.91
2007-09-12 00:00:00,135.99,139.4,135.75,136.85,36527500,136.26
2007-09-13 00:00:00,138.83,139.0,136.65,137.2,23434400,136.61
2007-09-14 00:00:00,136.57,138.98,136.2,138.81,21690000,138.22
2007-09-17 00:00:00,138.99,140.59,137.6,138.41,28334700,137.82
2007-09-18 00:00:00,139.06,142.85,137.83,140.92,38003200,140.32
2007-09-19 00:00:00,143.02,143.16,139.4,140.77,36674300,140.17
2007-09-20 00:00:00,140.15,141.79,139.32,140.31,24708600,139.71
2007-09-21 00:00:00,141.14,144.65,140.31,144.15,40674300,143.53
2007-09-24 00:00:00,146.73,149.85,146.65,148.28,37577200,147.65
2007-09-25 00:00:00,146.84,153.22,146.82,153.18,42591100,152.53
2007-09-26 00:00:00,154.47,155.0,151.25,152.77,34831000,152.12
2007-09-27 00:00:00,153.77,154.52,152.32,154.5,23507100,153.84
2007-09-28 00:00:00,153.44,154.6,152.75,153.47,21967900,152.81
2007-10-01 00:00:00,154.63,157.41,152.93,156.34,29895300,155.67
2007-10-02 00:00:00,156.55,158.59,155.89,158.45,28288200,157.77
2007-10-03 00:00:00,157.78,159.18,157.01,157.92,24732800,157.24
2007-10-04 00:00:00,158.0,158.08,153.5,156.24,23462800,155.57
2007-10-05 00:00:00,158.37,161.58,157.7,161.45,33695400,160.76
2007-10-08 00:00:00,163.49,167.91,162.97,167.91,29854600,167.19
2007-10-09 00:00:00,170.2,171.11,166.68,167.86,39438800,167.14
2007-10-10 00:00:00,167.55,167.88,165.6,166.79,23842500,166.08
2007-10-11 00:00:00,169.49,171.88,153.21,162.23,58714000,161.54
2007-10-12 00:00:00,163.01,167.28,161.8,167.25,35292000,166.53
2007-10-15 00:00:00,167.98,169.57,163.5,166.98,38497500,166.27
2007-10-16 00:00:00,165.54,170.18,165.15,169.58,38136800,168.86
2007-10-17 00:00:00,172.69,173.04,169.18,172.75,40271900,172.01
2007-10-18 00:00:00,171.5,174.19,171.05,173.5,29417000,172.76
2007-10-19 00:00:00,174.24,174.63,170.0,170.42,46135000,169.69
2007-10-22 00:00:00,170.35,174.9,169.96,174.36,58910700,173.61
2007-10-23 00:00:00,188.56,188.6,182.76,186.16,64113000,185.36
2007-10-24 00:00:00,185.81,187.21,179.24,185.93,46017200,185.14
2007-10-25 00:00:00,184.87,185.9,181.66,182.78,34771500,182.0
2007-10-26 00:00:00,185.29,185.37,182.88,184.7,25219800,183.91
2007-10-29 00:00:00,185.45,186.59,184.7,185.09,19305500,184.3
2007-10-30 00:00:00,186.18,189.37,184.73,187.0,33550500,186.2
2007-10-31 00:00:00,187.63,190.12,184.95,189.95,29761100,189.14
2007-11-01 00:00:00,188.6,190.1,180.0,187.44,28751300,186.64
2007-11-02 00:00:00,189.21,189.44,183.49,187.87,35789800,187.07
2007-11-05 00:00:00,185.29,188.96,184.24,186.18,28720600,185.38
2007-11-06 00:00:00,187.05,192.0,185.27,191.79,34097400,190.97
2007-11-07 00:00:00,190.61,192.68,186.13,186.3,35473400,185.5
2007-11-08 00:00:00,186.67,186.9,167.77,175.47,67458500,174.72
2007-11-09 00:00:00,171.15,175.12,165.21,165.37,54458700,164.66
2007-11-12 00:00:00,165.28,167.7,150.63,153.76,63057700,153.1
2007-11-13 00:00:00,160.85,170.98,153.76,169.96,62034100,169.23
2007-11-14 00:00:00,177.16,177.57,163.74,166.11,51695400,165.4
2007-11-15 00:00:00,166.39,169.59,160.3,164.3,53095600,163.6
2007-11-16 00:00:00,165.3,167.02,159.33,166.39,49391300,165.68
2007-11-19 00:00:00,166.1,168.2,162.1,163.95,41196800,163.25
2007-11-20 00:00:00,165.67,171.79,163.53,168.85,55130100,168.13
2007-11-21 00:00:00,165.84,172.35,164.67,168.46,43493200,167.74
2007-11-23 00:00:00,172.0,172.05,169.75,171.54,16634200,170.81
2007-11-26 00:00:00,173.59,177.27,172.35,172.54,46634100,171.8
2007-11-27 00:00:00,175.22,175.79,170.01,174.81,47036800,174.06
2007-11-28 00:00:00,176.82,180.6,175.35,180.22,41104000,179.45
2007-11-29 00:00:00,179.43,185.17,179.15,184.29,37533100,183.5
2007-11-30 00:00:00,187.34,187.7,179.7,182.22,42421500,181.44
2007-12-03 00:00:00,181.86,184.14,177.7,178.86,34338200,178.1
2007-12-04 00:00:00,177.15,180.9,176.99,179.81,27635700,179.04
2007-12-05 00:00:00,182.89,186.0,182.41,185.5,31871500,184.71
2007-12-06 00:00:00,186.19,190.1,186.12,189.95,32136100,189.14
2007-12-07 00:00:00,190.54,194.99,188.04,194.3,38073800,193.47
2007-12-10 00:00:00,193.59,195.66,192.69,194.21,25799200,193.38
2007-12-11 00:00:00,194.75,196.83,187.39,188.54,39675900,187.73
2007-12-12 00:00:00,193.44,194.48,185.76,190.86,43773600,190.04
2007-12-13 00:00:00,190.19,192.12,187.82,191.83,30879200,191.01
2007-12-14 00:00:00,190.37,193.2,189.54,190.39,24082600,189.58
2007-12-17 00:00:00,190.72,192.65,182.98,184.4,36596200,183.61
2007-12-18 00:00:00,186.52,187.33,178.6,182.98,43664400,182.2
2007-12-19 00:00:00,182.98,184.64,180.9,183.12,29552800,182.34
2007-12-20 00:00:00,185.43,187.83,183.33,187.21,27644900,186.41
2007-12-21 00:00:00,190.12,193.91,189.89,193.91,35498600,193.08
2007-12-24 00:00:00,195.03,199.33,194.79,198.8,17150100,197.95
